"RegionNumber","RegionName","countyfips","county","year","totalPopulation","netMigration","netMigrationRate","RUCC_2013","rucc_short","rucc_desc","econdep","econdep_factor"
102,"Front Range",1,"Adams County",1985,268764,-807,-0.00300263428137697,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",1986,268643,-3797,-0.0141339993969692,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",1987,269323,-2838,-0.0105375329994096,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",1988,269019,-3842,-0.0142815191492051,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",1989,266771,-5596,-0.0209767928298053,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",1990,265708,-4309,-0.0162170502958135,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",1991,273624,4615,0.0168662105663246,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",1992,281385,4375,0.0155480924711694,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",1993,290777,6051,0.0208097614323004,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",1994,300794,6911,0.0229758572311948,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",1995,312593,8517,0.0272462915036485,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",1996,323042,7042,0.0217990230372521,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",1997,332744,6094,0.018314379823528,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",1998,344024,7487,0.0217630165337302,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",1999,355308,7210,0.0202922534814865,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",2000,351735,-8328,-0.0236769158599514,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",2001,359437,2793,0.00777048550928257,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",2002,371181,6686,0.018012775438398,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",2003,377665,1374,0.00363814491679134,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",2004,385945,3067,0.00794672816074829,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",2005,395384,4236,0.0107136353519616,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",2006,407587,6711,0.0164651963875197,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",2007,415915,2766,0.00665039731675943,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",2008,425138,3746,0.00881125658021631,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",2009,436323,5845,0.0133960391728146,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",2010,443711,2426,0.00546752277946681,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",2011,451926,3433,0.00759637639790585,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",2012,460254,4155,0.00902762387725039,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",2013,469936,5309,0.0112972830342855,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
102,"Front Range",1,"Adams County",2014,480317,6051,0.0125979301169852,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",6,"Nonspecialized"
105,"San Luis Valley",3,"Alamosa County",1985,13011,-85,-0.00653293367150872,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",1986,13336,163,0.0122225554889022,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",1987,13427,-92,-0.00685186564385194,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",1988,13715,123,0.00896828290193219,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",1989,13660,-186,-0.0136163982430454,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",1990,13630,-204,-0.01496698459281,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",1991,13639,-169,-0.0123909377520346,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",1992,13572,-256,-0.0188623636899499,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",1993,13657,-45,-0.0032950135461668,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",1994,13823,46,0.00332778702163062,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",1995,14097,170,0.0120593033978861,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",1996,14322,108,0.00754084625052367,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",1997,14478,45,0.00310816411106506,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",1998,14623,3,0.000205156260685222,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",1999,14822,110,0.00742140062069896,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",2000,15099,149,0.00986820319226439,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",2001,15231,-4,-0.000262622283500755,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",2002,15266,-76,-0.00497838333551684,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",2003,15360,5,0.000325520833333333,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",2004,15406,-124,-0.00804881215110996,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",2005,15395,-156,-0.0101331601169211,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",2006,15350,-179,-0.0116612377850163,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",2007,15293,-206,-0.0134702151311057,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",2008,15346,-96,-0.00625570181154698,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",2009,15301,-228,-0.0149009868636037,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",2010,15474,50,0.00323122657360734,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",2011,15679,102,0.0065055169334779,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",2012,15691,-78,-0.00497100248550124,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",2013,15821,53,0.00334997787750458,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
105,"San Luis Valley",3,"Alamosa County",2014,15870,-65,-0.00409577819785759,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",4,"Government"
102,"Front Range",5,"Arapahoe County",1985,381244,9246,0.0242521849524189,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",1986,387244,1279,0.00330282715807088,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",1987,388687,-3161,-0.0081325076475416,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",1988,386723,-6510,-0.016833754392679,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",1989,389502,-1709,-0.0043876539786702,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",1990,393284,-552,-0.00140356587097365,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",1991,403202,5423,0.013449834078204,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",1992,417681,9898,0.0236975107797578,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",1993,427470,5418,0.0126745736542915,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",1994,436405,4908,0.0112464339317835,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",1995,442539,2192,0.00495323576001211,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",1996,451065,4464,0.00989657809850022,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",1997,459058,4302,0.00937136483843,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",1998,472399,9371,0.0198370445322704,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",1999,481306,4643,0.00964666968622872,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",2000,490722,5015,0.0102196355574032,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",2001,501671,6332,0.0126218178846296,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",2002,510503,4211,0.00824872723568716,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",2003,516354,734,0.00142150540133319,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",2004,523715,2232,0.00426185998109659,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",2005,528214,-575,-0.00108857394919483,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",2006,536051,2735,0.0051021264767718,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",2007,545882,4716,0.00863922972363991,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",2008,556246,5279,0.00949040532426301,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",2009,566480,5292,0.00934190086146025,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",2010,574819,3653,0.00635504393556928,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",2011,585552,6438,0.0109947536683335,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",2012,595779,5853,0.00982411263236871,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",2013,607438,7393,0.0121707894468242,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
102,"Front Range",5,"Arapahoe County",2014,618341,6485,0.0104877405832704,1,"Metro","Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",5,"Services"
103,"Western Slope",7,"Archuleta County",1985,5213,149,0.0285823901784002,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",1986,5335,66,0.0123711340206186,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",1987,5265,-128,-0.0243114909781576,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",1988,5004,-310,-0.0619504396482814,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",1989,5196,143,0.0275211701308699,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",1990,5393,142,0.0263304283330243,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",1991,5626,196,0.034838250977604,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",1992,5880,209,0.0355442176870748,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",1993,6177,270,0.0437105390966489,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",1994,6539,319,0.0487842177703013,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",1995,7108,544,0.0765334833989871,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",1996,7928,779,0.0982593340060545,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",1997,8534,555,0.0650339817201781,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",1998,9133,556,0.0608781342384759,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",1999,9570,387,0.0404388714733542,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",2000,10043,425,0.0423180324604202,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",2001,10465,370,0.0353559483994267,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",2002,10700,167,0.015607476635514,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",2003,10964,203,0.0185151404596862,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",2004,11171,142,0.0127114850953361,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",2005,11402,184,0.0161375197333801,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",2006,11798,353,0.0299203254788947,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",2007,12108,238,0.0196564255037991,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",2008,12074,-88,-0.00728838827232069,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",2009,11899,-192,-0.0161358097319102,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",2010,12060,116,0.00961857379767828,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",2011,12007,-108,-0.00899475306071458,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",2012,12117,66,0.00544689279524635,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",2013,12208,77,0.00630733944954128,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
103,"Western Slope",7,"Archuleta County",2014,12249,24,0.00195934361988734,7,"Rural Not Adjacent","Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",5,"Services"
104,"Eastern Plains",9,"Baca County",1985,4873,-195,-0.0400164169915863,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",1986,4587,-287,-0.0625681273163288,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",1987,4559,-54,-0.0118447027856986,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",1988,4728,157,0.0332064297800338,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",1989,4629,-98,-0.0211708792395766,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",1990,4526,-106,-0.0234202386212992,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",1991,4441,-91,-0.0204908804323351,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",1992,4302,-123,-0.0285913528591353,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",1993,4326,47,0.0108645399907536,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",1994,4391,65,0.014803006148941,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",1995,4428,49,0.0110659439927733,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",1996,4526,98,0.0216526734423332,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",1997,4562,45,0.00986409469530907,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",1998,4531,-15,-0.00331052747737806,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",1999,4523,13,0.00287419854079151,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",2000,4499,-4,-0.000889086463658591,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",2001,4447,-26,-0.00584663818304475,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",2002,4315,-108,-0.0250289687137891,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",2003,4258,-30,-0.00704556129638328,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",2004,4166,-65,-0.0156024963994239,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",2005,4098,-50,-0.0122010736944851,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",2006,4088,15,0.0036692759295499,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",2007,3993,-69,-0.0172802404207363,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",2008,3906,-70,-0.017921146953405,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",2009,3814,-61,-0.0159937073938123,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
104,"Eastern Plains",9,"Baca County",2010,3795,-6,-0.00158102766798419,9,"Rural Not Adjacent","Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",1,"Farming"
